Fecha & Hora;PM10;NO2  (ug/m3);Vel Viento  (m/s);Dir Viento (Grados);Temperatura (C°);Humedad (%);Radiacion Solar (Watt/M2);Lluvia (mm);;
1/01/2013 1:00;55,2;28,02;0,4;67;23,7;72,6;0;0;;
1/01/2013 2:00;74,3;26,46;0,1;88,5;23,3;74,5;0;0;;
1/01/2013 3:00;59,1;23,93;0,6;31,9;23;76,4;0;0;;
1/01/2013 4:00;57,7;20,06;0,1;31,3;22,8;77,1;0;0;;
1/01/2013 5:00;32;21,20;0,1;339,4;23;76,5;0;0;;
1/01/2013 6:00;47,2;20,17;0,3;20,7;22,7;77,8;0;0;;
1/01/2013 7:00;25,2;15,76;1;23;22,1;81,3;10,3;0;;
1/01/2013 8:00;14,1;12,59;0,3;287,8;22,5;79,5;79,9;0;;
1/01/2013 9:00;;18,21;0,4;28,6;24,3;71,9;279;0;;
1/01/2013 10:00;;8,17;1,1;124,3;26,2;61,5;573,3;0;;
1/01/2013 11:00;1,5;6,23;0,7;55,6;27,6;56,3;631,1;0;;
1/01/2013 12:00;5,9;10,61;0,6;31,6;28,8;52,1;714;0;;
1/01/2013 13:00;8,2;8,82;0,8;49,5;29,7;49,2;597;0;;
1/01/2013 14:00;14,7;5,98;0,7;339,8;30,3;46,2;503,1;0;;
1/01/2013 15:00;8;1,51;2,9;289,5;30,3;44,7;357;0;;
1/01/2013 16:00;5,2;1,55;2,4;283,4;30,6;44,4;462,4;0;;
1/01/2013 17:00;3,1;1,92;1,5;294;30,6;43,7;253,4;0;;
1/01/2013 18:00;2,1;8,58;0,9;249,6;29,4;47,4;49,1;0;;
1/01/2013 19:00;18,4;19,26;0,4;223,5;27,8;50,2;0,6;0;;
1/01/2013 20:00;12,1;36,75;0,4;123,3;27,2;51,1;0,1;0;;
1/01/2013 21:00;7,3;39,43;0,2;79,9;26,2;54,9;0;0;;
1/01/2013 22:00;5,3;33,32;0,8;120,5;25,5;58,9;0;0;;
1/01/2013 23:00;3,8;24,77;0,3;63,6;23,9;66,6;0;0;;
2/01/2013 0:00;4,9;23,59;0,2;201;23,5;69;0;0;;
2/01/2013 1:00;3,3;22,47;0,4;250,9;23;71,3;0;0;;
2/01/2013 2:00;2,6;17,88;0,7;144,2;23;73;0;0;;
2/01/2013 3:00;2;12,89;0,3;347,9;22,2;77,1;0;0;;
2/01/2013 4:00;1;12,95;0,5;296,2;21,9;78,5;0;0;;
2/01/2013 5:00;2,8;15,52;0,1;213,4;21,8;78,5;0;0;;
1/01/2013 2:00;3,7;16,19;0,2;346,4;21,5;79,4;0;0;;
1/01/2013 3:00;4,8;18,62;0,7;346,4;21,3;79,8;15,9;0;;
1/01/2013 4:00;20,6;22,38;0,8;170,4;23,5;69,9;177,5;0;;
1/01/2013 5:00;11,4;23,08;1,2;149,6;25,3;62,7;372,8;0;;
1/01/2013 6:00;7,9;15,75;1,2;138,9;26,6;58,8;566,8;0;;
1/01/2013 7:00;5,6;15,59;1,5;131,8;27,5;56,1;620,6;0;;
1/01/2013 8:00;7,1;13,54;1,3;130,1;29,1;51,1;737,5;0;;
1/01/2013 9:00;5,5;12,83;1,2;101,5;30;48,2;704;0;;
1/01/2013 10:00;3,6;8,71;1,8;312;30,5;45,6;651,1;0;;
1/01/2013 11:00;3,1;4,69;2,7;263,4;31,3;41,2;607,4;0;;
1/01/2013 12:00;3,4;6,27;2,8;283,2;31,1;41,7;480,5;0;;
1/01/2013 13:00;2,4;9,48;3;258,2;30,7;43,1;257,2;0;;
1/01/2013 14:00;2,9;18,11;1,4;265,2;29,5;46,1;52,9;0;;
1/01/2013 15:00;3,1;28,69;0,6;265,2;28,2;49,1;0,5;0;;
1/01/2013 16:00;14,8;34,66;0,6;110;27,8;50,6;0;0;;
1/01/2013 17:00;19;44,61;0;100,8;26,7;54,6;0;0;;
1/01/2013 18:00;32,2;32,09;1,2;110;25,5;61,5;0;0;;
1/01/2013 19:00;18,2;27,85;0,3;6,9;24,3;66,5;0;0;;
1/01/2013 20:00;31,3;25,05;0,3;340,3;23,5;70,4;0;0;;
1/01/2013 21:00;17;24,97;0,4;230,5;23,6;69,6;0;0;;
1/01/2013 22:00;14,6;23,49;0,1;290,5;23,6;70,4;0;0;;
1/01/2013 23:00;8,5;17,85;0,7;140,4;23,4;72,9;0;0;;
2/01/2013 0:00;5,2;16,26;0,2;78,7;22,8;75,8;0;0;;
2/01/2013 1:00;3,2;15,67;0,1;324;22,5;77,6;0;0;;
2/01/2013 2:00;10,9;17,20;0,2;341,4;22,1;78,9;0;0;;
2/01/2013 3:00;16,1;21,24;0,1;311,1;22;79,3;18,3;0;;
2/01/2013 4:00;18;24,13;0,6;222,3;23,6;72,9;161,3;0;;
2/01/2013 5:00;10,9;27,82;0,6;156,1;25,6;63,9;363,1;0;;
1/01/2013 2:00;7,1;25,63;1,1;127,2;27,2;57,8;547;0;;
1/01/2013 3:00;5,7;18,34;1,3;148,4;28,3;54;746,4;0;;
1/01/2013 4:00;5,1;19,97;1;109,4;29,6;51,4;697,7;0;;
