Fecha & Hora;PM10;Vel Viento  (m/s);Dir Viento (Grados);Temperatura (C°);Humedad (%);Radiacion Solar (Watt/M2);Lluvia (mm)
01-01-2013 01:00;;0,3;200,9;23,7;72,2;0;0
01-01-2013 02:00;;0,2;296,4;23,3;76,4;0;0
01-01-2013 03:00;;0,4;338,9;22,6;81;0;0
01-01-2013 04:00;;0,8;59,6;22,5;79,9;0;0
01-01-2013 05:00;;0,5;61,3;22,5;80;0;0
01-01-2013 06:00;;0,2;203,4;22,6;78,5;0;0
01-01-2013 07:00;;0,4;91,5;22,7;78,8;8,8;0
01-01-2013 08:00;;0,1;354,4;22,7;79,9;104,1;0
01-01-2013 09:00;;0,7;92,5;24,5;70,8;204,8;0
01-01-2013 10:00;;0,5;79,3;24,2;73,4;166,7;0
01-01-2013 11:00;;0,5;143,9;26,2;62,1;561,7;0
01-01-2013 12:00;;0,9;104,4;28,2;54,7;638,8;0
01-01-2013 13:00;;1,1;56,6;28,5;54,1;409,1;0
01-01-2013 14:00;;0,5;122,9;29,2;50,9;489,1;0
01-01-2013 15:00;;4;178;29,4;46,8;621,7;0
01-01-2013 16:00;;3,2;187,5;29,3;46,1;474,3;0
01-01-2013 17:00;;3;188,9;28,7;47,7;248,9;0
01-01-2013 18:00;;2,6;182,8;27,1;51,4;29,8;0
01-01-2013 19:00;;2,6;173,5;26,5;54,1;0;0
01-01-2013 20:00;;2,4;180,5;25,9;57,2;0;0
01-01-2013 21:00;;2,4;154,9;24,9;65,1;0;0
01-01-2013 22:00;;2,2;160;24,5;63,8;0;0
01-01-2013 23:00;;1,5;153,1;23,8;69,7;0;0
01-01-2013 24:00;;0,3;73,8;23,3;73,2;0;0
02-01-2013 01:00;;0,3;305;22,6;77,9;0;0
02-01-2013 02:00;;0,4;38,3;21,8;81,1;0;0
02-01-2013 03:00;;0,2;136,4;21,9;80,4;0;0
02-01-2013 04:00;;0,3;53,1;22;79,2;0;0
02-01-2013 05:00;;0,8;79,6;21,6;80,9;0;0
02-01-2013 06:00;;0,3;230,1;21,4;80,2;0;0
02-01-2013 07:00;;0,9;161,3;21,8;76,6;28,2;0
02-01-2013 08:00;;0,9;171,4;22,8;70,6;163,1;0
02-01-2013 09:00;;0,7;142,9;24,6;68,3;442,6;0
02-01-2013 10:00;;1,8;130,8;26,5;61,5;699,1;0
02-01-2013 11:00;;1,1;118;27,2;57,7;709,1;0
02-01-2013 12:00;;0,3;133,6;27,7;55,6;528;0
02-01-2013 13:00;;1;106,8;28,9;50,2;543,6;0
02-01-2013 14:00;;0,4;115,1;30,2;45,2;670,3;0
02-01-2013 15:00;;0,3;140,4;30,7;43,5;565,7;0
02-01-2013 16:00;;1,7;173,5;31,2;41,8;526,4;0
02-01-2013 17:00;;4,4;174,4;29,2;47,3;286,5;0
02-01-2013 18:00;;4,8;173,1;27,1;53,2;59,6;0
02-01-2013 19:00;;3,7;181,6;26,2;56,1;0;0
02-01-2013 20:00;;4,2;175,4;25,5;59,2;0;0
02-01-2013 21:00;;1,3;176,9;25,6;58,4;0;0
02-01-2013 22:00;;1,8;137,5;25,1;63,1;0;0
02-01-2013 23:00;;2,5;152,9;24,7;64;0;0
02-01-2013 24:00;;1,9;156,6;24,6;63,3;0;0
03-01-2013 01:00;;1,5;155,6;24,5;64;0;0
03-01-2013 02:00;;1,5;143,3;23,5;72,8;0;0
03-01-2013 03:00;;0,5;94,8;23,1;76,6;0;0
03-01-2013 04:00;;0,8;89,5;22,2;81,1;0;0
03-01-2013 05:00;;0,3;92;22,2;81,2;0;0
