Fecha & Hora;ALMACAFE;MOSQUERA VILLA;MOSQUERA SENA;TIBITOC;NEMOCON;ZIPAQUIRA;COGUA;MADRID;RAQUIRA;CAJICA;SOPO;SIBATE;MOCHUELO
4/1/2010 00:00;50.26;85.04;62.45;58.49;52.5;51.1;45.72;53;54.11;20.3;56.31;55.13;59.37
6/1/2010 00:00;43.5;62.07;43.17;62.15;64.19;47.63;51.23;62.78;43.7;25.35;58.64;48.19;68.72
10/1/2010 00:00;53.85;63.22;56.7;73.5;46.73;56.85;70.44;42.67;53.42;36.78;52.47;52.61;72.56
14/1/2010 00:00;41.56;44.53;51.24;56.4;50.68;52.47;53.07;48.91;55;25.01;61.95;54.32;69.33
17/1/2010 00:00;40.36;62.3;54.61;39.71;48.27;49.06;36.5;37.4;52.78;22.7;66.31;46.2;64.02
19/1/2010 00:00;57.05;55.63;50.36;50.44;60.74;51.35;59.54;51.33;61.3;14.56;58.33;51.38;77.25
21/1/2010 00:00;43.87;70.49;47.82;61.3;52.71;58.67;32.85;83.25;49.72;24.87;61.47;53.03;82.4
23/1/2010 00:00;50.28;48.2;61.04;77.24;59.26;48.72;62.41;34.71;65.03;22.2;53.87;46.55;67.49
25/1/2010 00:00;46.35;62.15;52.46;62.85;44.83;53.48;58.33;40.26;41.38;23.56;67.04;52.73;71.42
27/1/2010 00:00;39.84;63.07;53.82;57.32;50.55;49.95;49.17;53.73;76.52;13.5;50.36;53.29;65.72
29/1/2010 00:00;53.26;52.86;49.85;49.37;43.87;50.78;55.82;50.7;49.87;19.09;48.77;55.08;84.3
31/1/2010 00:00;54.72;65.88;57.03;51.83;56.75;54.08;57.77;65.14;50.14;18.23;51.28;57.28;77.54
1/2/2010 00:00;43.82;58.04;53.6;75;53.68;52.03;48.8;40.77;42.62;43.2;53.27;49.72;69.42
3/2/2010 00:00;54.06;62.37;48.26;63.58;66.4;54.71;54.32;62.8;63.7;11.8;74.81;54.32;73
5/2/2010 00:00;37.55;52.6;49.04;51.62;53.17;46.85;50.72;57.2;48.15;34.91;66.48;55.17;58.14
10/2/2010 00:00;47.03;55.81;55.62;58.32;48.35;50.77;47.63;61.42;48.21;18.38;63.21;43.85;61.52
13/2/2010 00:00;40.63;62.13;58.3;46.73;59.83;47.74;62.7;50.86;59.69;18.5;59.4;52.3;75.04
17/2/2010 00:00;52.29;51.26;50.73;57.24;46.63;58.14;78.41;43;75.23;24.76;63.23;49.66;53.13
19/2/2010 00:00;54.07;49.78;52.84;50.82;52.42;51.73;57.53;58.71;55.4;25.7;60.55;45.61;78.22
22/2/2010 00:00;32.6;58.04;49.76;58.04;48.76;55.02;49.14;48.34;58.93;19.96;62.74;56.74;73.4
24/2/2010 00:00;51.37;52.3;58.33;63.55;62.34;50.76;53.75;58;47;26.9;57.3;51.3;68.64
26/2/2010 00:00;67.04;45.27;62.42;59.1;64.89;63.28;60.13;62.14;84.38;30.23;59.96;57.38;83.25
28/2/2010 00:00;53.89;47.08;48.89;62.4;48.74;67.35;85.43;65.74;69.1;;58.76;58.55;
1/3/2010 00:00;43.15;54.07;35.58;45.96;38.6;58.93;36.29;60.74;54.08;42.6;55.08;46.53;58.31
3/3/2010 00:00;48.26;41.59;56.3;38.42;49.73;27.41;41.73;64.3;62.57;24.55;63.47;50.17;62.03
5/3/2010 00:00;51.28;52;61.47;89.14;56.24;83.64;77.05;58.27;51.8;45.29;65.2;38.75;56.24
10/3/2010 00:00;36.8;57.91;42.6;61.35;30.85;87.36;35.4;62;67.29;26.17;54.83;43.6;74.83
13/3/2010 00:00;52.61;39.06;51.29;47.11;46.88;62.31;46.72;56.53;58.54;24.13;65.4;51.35;69.22
17/3/2010 00:00;46.7;61.73;46.73;53.6;53.2;74.26;40.86;59.26;65.88;30.16;56.38;53.2;65.37
19/3/2010 00:00;53.2;48.16;57.25;58.49;55.01;36.78;38.14;67.2;59.03;24.8;68.56;55.01;70.46
22/3/2010 00:00;57.32;52.9;48.33;40.67;49.38;26.33;37.89;62.8;86.41;22.97;67.41;39.7;55.4
24/3/2010 00:00;30.25;48.3;50.73;56.8;44.96;84.52;50.41;74.63;36.52;23.03;63.24;42.62;61.32
26/3/2010 00:00;47.86;56.33;52.9;49.69;58.89;52.18;32.36;61.23;55.76;26.92;70.25;47.16;64.28
29/3/2010 00:00;39.84;46.74;41.57;51.68;47.36;93.65;52.7;75.36;60.49;14.8;59.31;35.14;61
31/3/2010 00:00;37.03;58.89;51.85;43.85;41.72;74.31;65.62;66.51;58.07;36.6;63.14;30.65;59.44
1/4/2010 00:00;25.49;54.03;51.17;52.6;45.27;29.35;53.17;42.53;48.2;32.2;46.36;47.23;56.42
4/4/2010 00:00;49.3;51.93;42.68;46.83;39.02;52.74;28.35;51.8;49.36;33.1;51.72;38.66;60.71
6/4/2010 00:00;35.1;48.76;53.09;50.38;40.75;46.3;41.22;53.71;50.33;19.82;49.35;42.14;60.55
9/4/2010 00:00;26.72;55.32;38.75;31.69;28.53;43.62;35.6;46;49.24;26.23;48.42;29.86;58.46
13/4/2010 00:00;50.64;46.5;54.62;46.82;39.97;35.78;46.72;55.96;30;12.32;39.74;37.52;63.7
15/4/2010 00:00;42.22;50.32;;47.47;41.15;64.5;28.93;54.37;52.77;17.42;52.65;46.28;59.53
18/4/2010 00:00;52.18;48.09;50.66;38.09;47.86;74.82;52.11;39.38;58.26;28.38;48.26;41.72;61.38
22/4/2010 00:00;;48.35;49.24;38.66;;47.86;37.8;47.5;61.03;33.47;39.87;37.08;57.92
25/4/2010 00:00;29.48;52.7;36.5;25.38;22.85;51.37;40.1;53;47.2;33.5;48.67;38.54;60.16
27/4/2010 00:00;30.67;34.25;52.16;45.16;26.7;62.75;43.75;46.91;44.62;33.53;50.13;41.22;57.35
29/4/2010 00:00;42.8;46.44;45.77;32.69;30.29;48.65;29.87;58.04;39.78;33.57;55.6;39.21;61.04
30/4/2010 00:00;37.55;58.62;;47.33;19.17;59.07;37.61;48.78;48.85;33.62;52.1;42.6;54.8
1/5/2010 00:00;50.27;47.09;40.67;50.64;56.82;57.07;63.24;31.97;52.14;34;39.41;39.75;56.82
4/5/2010 00:00;47.16;54.96;53.09;38.75;26.79;52.3;28.93;44.63;45;17.6;46.17;36.44;47.39
6/5/2010 00:00;34.8;45.38;38.76;49.23;28.41;56.41;36.4;48.29;51.34;30.19;42.06;43.17;52.35
9/5/2010 00:00;29.96;37.61;51.94;35.5;35.26;46.38;28.75;50.72;36.5;27.2;48.62;36.7;48.22
11/5/2010 00:00;37.4;44.26;33.85;36.51;37.43;64.32;26.49;42.7;44.53;21;50.33;40.81;47.53
15/5/2010 00:00;52.68;51.23;45.3;33.47;30.67;36;34.11;39.65;53.91;25.9;48.26;36.23;57.08
17/5/2010 00:00;42.58;49.76;54.26;52.14;27.1;50.07;33.5;47.33;57.26;26.81;37.4;39;46.39
20/5/2010 00:00;;52.85;57.41;34.26;29.26;39.53;37.25;32.18;35.11;28.8;52;31.08;59.64
22/5/2010 00:00;46.52;47.66;36.4;46.73;24.61;42.18;26.4;35;40.58;22.57;49.75;29.73;55.3
24/5/2010 00:00;40.27;49.33;30.87;47.33;32.58;44.73;38.62;36.25;43.37;36.42;44.61;32.58;62.18
27/5/2010 00:00;51.03;50.28;38.62;30.58;28.03;26.7;51.64;51.35;42.14;19.38;36.33;30.13;58.14
31/5/2010 00:00;40.34;43;44.7;61.38;26.31;31.47;24.7;38.26;45.39;31.4;37.29;28.75;62.76
1/6/2010 00:00;47.85;47.69;77.64;57.39;52.72;56.74;53.28;39.25;27.55;29.37;27.68;42.63;54.68
3/6/2010 00:00;51.18;56.31;63.29;56;48.6;52.39;39.67;40.72;48.53;36.72;45.73;31.58;51.35
5/6/2010 00:00;44.67;63.28;66.43;62.71;58.34;28.3;37.4;33.69;50.72;23.43;51.62;36.06;47.51
8/6/2010 00:00;53.22;60.72;57.25;53.8;50.75;55.36;42.69;42;52.3;23.14;43.5;37.2;50.23
10/6/2010 00:00;52.8;54.65;58.3;48.66;48.2;42.26;35.7;43.51;47.68;36.72;40.88;26.79;49.73
13/6/2010 00:00;45.85;61.33;62.36;49.63;54.09;38.44;38.31;37.6;44.33;25.63;39.78;32.47;54.18
14/6/2010 00:00;52.3;57.09;50.41;51.37;56.71;50.27;53.24;40.03;40.57;19.88;35.82;37.11;57.29
16/6/2010 00:00;32.48;49.62;43.4;55.48;49.96;51.72;38.65;48.33;52.13;34.18;46.7;28.79;48.62
19/6/2010 00:00;40.77;61.35;49.66;50.65;51.67;53.08;52.5;36.5;35.84;25.35;33.95;30.58;48.64
23/6/2010 00:00;56.86;58.16;40.65;52.24;48.78;51.11;34.81;27.55;49.24;30.35;32.86;29.05;48.78
26/6/2010 00:00;43.68;58.27;47.8;46.46;53.74;48.63;50.88;39.17;42;29.85;39.7;35.27;52.34
30/6/2010 00:00;37.26;44.62;33.49;54.33;56.29;53.22;66.71;32.18;39.75;24.58;43.27;27.33;49.37
1/7/2010 00:00;40.26;62.41;39.72;47.31;54.83;60.37;54.72;52;37.41;19.86;28.74;37.28;46.28
3/7/2010 00:00;37.42;53.74;54.86;52.69;62.36;53.28;44.97;44.38;40.36;24.17;39.65;40.49;46.24
6/7/2010 00:00;53.88;48.36;46.35;53.43;50.47;57.11;62.3;38.1;38;32.16;45.73;38.14;38.65
9/7/2010 00:00;42.11;51.78;44.89;61.16;48.03;46.23;56.28;43.57;58.29;28.36;50.28;39.76;44.83
13/7/2010 00:00;44.38;40.66;51.73;52.35;55.62;53.6;57.35;35.29;38.15;31.52;33.4;42.1;45.83
15/7/2010 00:00;52.42;49.04;48.68;48.87;60.28;53.27;62.48;40.31;43.08;26.48;38.26;35.77;37.23
17/7/2010 00:00;35.99;53.27;52.7;52.3;52.4;64;52.6;33.4;47.63;23.61;44.38;41.24;41.79
20/7/2010 00:00;48.1;48.67;53.26;49.76;57.41;50.65;49.44;29.76;42.61;27.6;35.22;37.5;49.27
22/7/2010 00:00;60.28;54.35;54.75;36.8;53.64;54.62;58.2;34.13;33.85;24.43;30.68;44.81;43.77
24/7/2010 00:00;41.21;57.83;50.02;41.43;48.75;58.38;48.79;31;46.28;30.55;37.15;35.22;48.75
27/7/2010 00:00;34.53;48.36;36.58;37.79;46.79;48.73;51.34;20.47;39.04;27.67;32.8;36.76;46.79
31/7/2010 00:00;37.3;38.62;37.64;45.71;61;68.33;53.66;32.04;42.32;21.46;35.63;42.09;47.33
1/8/2010 00:00;54.07;56.81;29.68;52.17;35.7;54.69;38.2;38.62;52.62;19.85;36.4;38.15;35.7
3/8/2010 00:00;42.6;47.62;56.37;48.39;49.74;48.73;52.49;27.05;43.5;23.08;29.87;33.24;49.74
7/8/2010 00:00;52.44;53.68;50.18;46.3;50.14;52.91;47.53;28.3;83.26;20.19;36.54;37.62;50.14
9/8/2010 00:00;;;49.24;40.69;51.28;66.02;30.25;35.74;33.61;24.13;47.25;40.04;51.28
11/8/2010 00:00;39.62;47.33;38.88;51.34;40.53;50.93;39.52;37.2;50.73;18.46;35.61;32.51;40.53
14/8/2010 00:00;55.85;43.72;36.5;37.52;52;55.84;46.23;33.04;48.82;21.33;30.96;28.07;42.3
